"كد دوره در نفت";"ترتيب";"كد دوره";"كد تخصصي";"ساعت";"عنوان دوره";"عنوان گروه تخصصي";"نوع دوره";"كد پيش نياز";"حداكثر ظرفيت";"اهداف دوره";"شرايط شركت كنندگان";"نحوه اجرا";"تجهيزات مورد نياز";"فضاي آموزشي";"روش تدريس";"منابع آموزشي";"شرايط مدرس";"مقطع تحصيلي و رشته";"تجربه تدريس";"تجربه حرفه اي";"سطح ارزيابي";"روش ارزيابي";"شاخص ارزيابي";"توضيحات";"شاخص ارزيابي1111";"شاخص ارزيابي11111"
12619;13301;;"133";16;"تكنولوژي آموزشي";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"آشنايي با تكنولوژي آموزشي به منظور ارتقا كيفي دوره هاي آموزشي";"كارشناسان آموزش و كارمندان خدمات آموزشي / تكنسين سمعي و بصري";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس تكنولوژي آموزشي / مديريت آموزشي / مديريت برنامه ريزي آموزشي";"3 سال";"5 سال";"يادگيري";;;;;
12624;9034;"09034";"090";16;"مديريت زمان";"بهبود مديريت";"بهبود مديريت";;25;"آشنايي با مفاهيم مديريت زمان";"كارشناسان و مديران";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس مديريت/ صنايع";"3";"5";"يادگيري";"آزمون";"60%";;;
12633;13312;;"133";16;"ارزشيابي آموزشي";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"اشنايي با اصول ارزشيابي آموزشي";"كارشناسان آموزش";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس تكنولوژي آموزشي / مديريت آموزشي / مديريت برنامه ريزي آموزشي";"3 سال";"5 سال";"يادگيري";;;;;
12719;9024;"09024";"090";16;"شايستگيهاي رهبري";"بهبود مديريت";"بهبود مديريت";;15;"اشنايي با مفاهيم رهبري و سبكهاي ان";"كارشناسان و مديران";"حضوري";;"كلاس";"تئوري-عملي";"كتاب";;"دكتري مديريت";"7";"10";"يادگيري";"آزمون";"60%";;;
12778;85018;;"850";40;"برنامه ريزي تعميرات شناورها";"عمليات دريايي و دريا نوردي";"شغلي";;12;"آشنايي فراگيران با اصول برنامه ريزي تعميرات شناورها";"افسران عرشه و موتورخانه /ناخدايان";"حضوري";;"كلاس";"تئوري";"جزوه";"مورد تاييد سازمان بنادر";;"5سال";"10سال";"يادگيري";"آزمون";"60%";;;
12797;14503;;"145";32;"قوانين و مقررات معاملات دولتي";"پشتيباني و ستاد - حقوق - قراردادها و پيمانها";"شغلي";;20;"آشنايي با نحوه برگزاري معاملات دولتي (مزايده، مناقصه) و روش تهيه اسناد مربوطه";"كاركنان واحدهاي حقوقي، مالي، خدمات و حراست";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"فوق ليسانس حقوق";"5 سال";"10 سال";"يادگيري";"آزمون";"60 درصد";;;
12811;18010;"18010";"180";16;"سازماندهي اسناد فني";"پشتيباني و ستاد -كتابخانه و اطلاع رساني";"شغلي";;25;"آشنايي با اصول مديريت اسناد و مدارك فني و سازماندهي آنها";"كاركنان مراكز اطلاع رساني كتابخانه";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس علوم كتابداري و اطلاع رساني";"3سال";"5سال";"يادگيري";"آزمون";"60%";;;
12818;75018;;"750";40;"اجزاي ساختمان";"مهندسي عمران - سيويل";"شغلي";;12;"آشنايي فراگيران با اجزا ساختمان";"تكنسينها و كارشناسان مهندسي/مهندسي پروژه/امور زير بنايي/ساختمان/خدمات فني";"حضوري";;"كلاس-محيط كار";"تئوري";"كتاب";;"كارشناس مهندسي عمران / معماري";"3";"5";"يادگيري";"آزمون";"60 از 100";;;
12825;73005;;"730";40;"آزمايشهاي مكانيك خاك";"مهندسي عمران - خاك و پي";"شغلي";;10;"آشنايي فراگيران با نحوه انجام آزمايشات خاك";"تكنسينها و كارشناسان كارشناسان مهندسي -مهندسي پروژه / امور زيربنايي/ خدمات فني/آزمايشگاه مكانيك خاك و مصالح";"حضوري";;"آزمايشگاه";"تئوري-عملي";"كتاب-جزوه";;"كارشناسي ارشد مهندسي عمران گرايش ژئوتكنيك/خاك وپي";"3";"5";"يادگيري";"آزمون";"كار عملي رد/قبول";;;
12833;75005;;"750";16;"آب بندي سازه ها";"مهندسي عمران - سيويل";"شغلي";;15;"آشنايي فراگيران با روش هاي آب بندي سازه ها";"تكنسين و كارشناسان مهندسي/مهندسي پروژه/امور زير بنايي/ساختمان/خدمات فني/تعميرات";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";"سابقه كار الزاميست";" كارشناسي مهندسي عمران";"3";"5";"يادگيري";"آزمون";"60%";;;
12843;85021;;"850";40;"SHIP HANDLING";"عمليات دريايي و دريا نوردي";"شغلي";;12;"آشنايي بامانور با كشتي در شرايط مختلف و در محيط هاي مختلف";"افسران عرشه /راهنمايان";"حضوري";;"كلاس";"تئوري";"جزوه";"فرمانده نامحدود يا راهنماي ارشد داراي شرايط ذكر شده دراستاندارد بين المللي STCW";;"5سال";"10سال";"يادگيري";"آزمون";"60%";;;
12859;13311;;"133";16;"مديريت آموزش و توسعه";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"آشنايي با سازوكارهاي مديريت آموزش و توسعه";"كارشناسان آموزش";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس تكنولوژي آموزشي / مديريت آموزشي / مديريت برنامه ريزي آموزشي";"3 سال";"5 سال";"يادگيري";;;;;
12863;41038;;"410";24;"DCS DELTA V - OPERATION";"برق - كنترل و ابزار دقيق";"شغلي";;15;"توانمندسازي فراگيران در كاربري سيستم كنترل گسترده Delta V";"كارشناسان بهره برداري و تعميرات ابزاردقيق";"حضوري";;"كلاس";"تئوري-عملي";"جزوه";"تجربه حرفه اي الزامي است";"كارشناس مهندسي برق";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
12864;41054;;"410";32;"PLC S7 I";"برق - كنترل و ابزار دقيق";"شغلي";;10;"توانايي فراگيران در برنامه نويسي كنترل كننده منطقي برنامه پذير زيمنس S7";"كارشناسان و تكنسينهاي تعميرات برق و ابزار دقيق";"حضوري";"سيمولاتورهاي آموزشي";"كلاس - كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";"تجربه حرفه اي الزامي است";"كارشناس برق- ابزار دقيق";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
12881;11025;"11025";"110";24;"تامين مالي پروژه هاي استراتژيك";"پشتيباني و ستاد - مالي";"بهبود مديريت";;20;"آشنايي با گزارشات مالي، تجزيه و تحليل صورتهاي مالي، اهداف مالي و استراتژيهاي سازمان در حوزه مديريت مالي";"مديران ارشد و اعضاي هيات مديره";"حضوري";;"كلاس";"تئوري";"كتاب";;"كارشناسي ارشد حسابداري / مديريت / اقتصاد";"10 سال";"15 سال";"يادگيري";"آزمون";"60 از 100";;;
12882;41055;;"410";32;"PLC S7 II";"برق - كنترل و ابزار دقيق";"شغلي";"41054";10;"توانايي فراگيران در برنامه نويسي پيشرفته كنترل كننده منطقي برنامه پذير زيمنس S7";"كارشناسان برق ابزاردقيق";"حضوري";"سيمولاتورهاي آموزشي";"كلاس - كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";"تجربه حرفه اي الزامي است";"كارشناس برق- ابزار دقيق";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
12883;41052;;"410";32;"PLC S5 I";"برق - كنترل و ابزار دقيق";"شغلي";;10;"توانايي فراگيران در برنامه نويسي كنترل كننده منطقي برنامه پذير زيمنس S5";"كارشناسان و تكنسينهاي برق و ابزار دقيق";"حضوري";"سيمولاتورهاي آموزشي";"كلاس - كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";"تجربه حرفه اي الزامي است";"كارشناس برق- ابزار دقيق";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
12884;41053;;"410";32;"PLC S5 II";"برق - كنترل و ابزار دقيق";"شغلي";"41052";10;"توانايي فراگيران در برنامه نويسي پيشرفته كنترل كننده منطقي برنامه پذير زيمنس S5";"كارشناسان و تكنسينهاي برق و ابزار دقيق";"حضوري";"سيمولاتورهاي آموزشي";"كلاس - كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";"تجربه حرفه اي الزامي است";"كارشناس برق- ابزار دقيق";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
12885;41065;;"410";40;"سيستم مانيتورينگ WINCC";"برق - كنترل و ابزار دقيق";"شغلي";;12;"توانايي فراگيران در بكارگيري نرم افزار WINCC جهت ايجاد سيستم مانيتورينگ";"كارشناسان و تكنسين هاي كنترل و ابزاردقيق";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - نرم افزار";"تجربه حرفه اي الزامي است";"كارشناس مهندسي برق";"3";"5";"يادگيري";"آزمون - عملكرد";"تحويل پروژه";;;
12900;27419;;"274";48;"ASME CODE اصول و مباني استانداردهاي";"مهندسي مواد و بازرسي فني - بازرسي";"شغلي";;15;"آشنايي با اصول و مباني استانداردهاي ASME CODE";"تكنسين و كارشناسان واحدهاي بازرسي فني/مهندسي/ خدمات فني";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";"سابقه حرفه اي الزاميست";"كارشناسي مهندسي مكانيك / متالورژي";"3";"5";"يادگيري";"آزمون";"70%";;;
12919;82019;;"820";24;"ازدياد برداشت از مخازن  هيدروكربوري با تزريق گاز";"مهندسي مخازن";"شغلي";"82003";15;"آشنايي با ازدياد برداشت از مخازن  هيدروكربوري با تزريق گاز";"كارشناسان واحدهاي بهره برداري / مهندسي مخازن";"حضوري";;"كلاس";"تئوري";"جزوه";;"كارشناسي ارشد مهندسي مخازن";"5 سال";"10 سال";"يادگيري";"آزمون";"70";;;
12921;82014;;"820";32;"شبيه سازي مخازن";"مهندسي مخازن";"شغلي";;15;"تعريف و آشنايي با مباني شبيه سازي رفتار مخزن";"كارشناسان واحدهاي مهندسي مخازن";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";"سابقه مرتبط در زمينه شبيه سازي الزاميست";"كارشناسي ارشد مهندسي مخازن";"1 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
12922;83286;;"832";40;"آناليز مغزه هاي نفتي";"زمين شناسي";"شغلي";;10;" آشنايي با آناليز مغزه  هاي  نفتي";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي ارشد زمين شناسي و مهندسي نفت";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
12929;51026;;"510";24;"شيرهاي صنعتي -  اصول انتخاب و طراحي";"تجهيزات فرآيندي - دستگاههاي ثابت";"شغلي";"51024";12;"توانمندسازي فراگيران با اصول انتخاب و طراحي  شيرهاي صنعتي";"كارشناسان ادارات مهندسي/خدمات فني /مهندسي پروژه/مهندسي فرآيند";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";"تجربه حرفه اي الزامي است";"كارشناسي مهندسي مكانيك / شيمي";"5";"10";"يادگيري";"آزمون";"60%";;;
12956;52012;;"520";32;"پمپها - پمپهاي انتقال آب دريا";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;15;"آشنايي فراگيران با پمپهاي مخصوص انتقال آب دريا در صنايع نفت و گاز";"تكنسينها و كارشناسان واحدهاي بهره برداري- تعميرات-مهندسي-خدمات فني-بازرسي فني- مهندسي پروژه ها";"حضوري";;"كلاس- كارگاه";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
12976;42030;;"420";32;"POWER MANAGEMENT SYSTEM";"برق - قدرت";"شغلي";;15;"آشنايي فراگيران با سيستم PMS";"كارشناسان واحدهاي مهندسي ،تعميرات برق و ساير واحدهاي مرتبط";"حضوري";;"كلاس-آزمايشگاه-محيط كار";"تئوري-عملي";"جزوه-نرم افزار";;"كارشناسي و بالاتر برق-قدرت";"3 سال";"5 سال";"يادگيري";"آزمون";"قبول/مردود";;;
12983;61048;;"610";8;"فرايند توليد هواي ابزار دقيق";"طراحي و مهندسي فرآيند - فرآيند";"شغلي";;15;"آشنايي با روشهاي توليد هواي ابزار دقيق";"آشنايي كاركنان واحدهاي بهره برداري-مهندسي فرايند و ابزار دقيق";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";;"كارشناس مهندسي شيمي";"3";"5";"يادگيري";"آزمون";"60 از 100";;;
12991;83829;;"838";16;"FRESH WATER SYSTEM";"فرآيندهاي توليد نفت و گاز";"شغلي";;20;"آشنايي با سيستم آب تازه مصرفي";"كارشناسان مهندسي فرايند- بهره برداري";"حضوري";;"كلاس";"تئوري";"جزوه";" تجربه حرفه اي الزامي است، مسلط به زبان انگليسي فني";"كارشناسي مهندسي شيمي - تصفيه آب";"3";"5";"يادگيري";"آزمون";"60?";;;
12992;83826;;"838";16;"CHEMICAL INJECTION SYSTEM";"فرآيندهاي توليد نفت و گاز";"شغلي";;15;"آشنايي با نحوه تزريق مواد شيميايي و تجهيزات مرتبط";"كارشناسان مهندسي فرايند- بهره برداري";"حضوري";;"كلاس";"تئوري";"جزوه";" تجربه حرفه اي الزامي است، مسلط به زبان انگليسي فني";"كارشناسي مهندسي شيمي";"3";"5";"يادگيري";"آزمون";"60?";;;
12995;83827;;"838";16;"CLOSED OPEN DRAIN SYSTEM";"فرآيندهاي توليد نفت و گاز";"شغلي";;15;"آشنايي با شبكه هاي تخليه";"كارشناسان مهندسي فرايند- بهره برداري";"حضوري";;"كلاس";"تئوري";"جزوه";" تجربه حرفه اي الزامي است، مسلط به زبان انگليسي فني";"كارشناسي مهندسي شيمي";"3";"5";"يادگيري";"آزمون";"60?";;;
13015;41079;;"410";40;"شيرهاي كنترل و تجهيزات جانبي";"برق - كنترل و ابزار دقيق";"شغلي";;10;"آشنايي فراگيران با انواع شيرهاي كنترلي و توانايي كاليبراسيون و رفع عيب آنها";"كارشناسان و تكنسين هاي ابزار دقيق / بهره برداري/ مهندسي فرآيند /خدمات فني / مهندسي / مهندسي پروژه";"حضوري";;"كلاس - كارگاه";"تئوري-عملي";"كتاب - جزوه";"تجربه حرفه اي الزامي است";"كارشناس برق- ابزار دقيق";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
13041;83815;;"838";16;"SEA WATER TREATMENT SYSTEMتزريق آب";"فرآيندهاي توليد نفت و گاز";"شغلي";;15;"آشنايي با روش تصفيه و تزريق آب دريا جهت ازدياد برداشت";"كارشناسان مهندسي نفت- بهره برداري";"حضوري";;"كلاس";"تئوري";"جزوه";" تجربه حرفه اي الزامي است، مسلط به زبان انگليسي فني";"كارشناسي مهندسي بهره برداري- مهندسي مخازن";"3";"5";"يادگيري";"آزمون";"60%";;;
13042;83828;;"838";16;"ELECTROCHLORINATION";"فرآيندهاي توليد نفت و گاز";"شغلي";;15;"آشنايي با روش هاي الكتروكلراسيم در گندزدايي آب";"كارشناسان مهندسي فرايند- بهره برداري";"حضوري";;"كلاس";"تئوري";"جزوه";" تجربه حرفه اي الزامي است، مسلط به زبان انگليسي فني";"كارشناسي مهندسي شيمي - تصفيه آب";"3";"5";"يادگيري";"آزمون";"60?";;;
13054;85632;"85632";"856";96;"عمليات نجات وآتش نشاني ويژه فرودگاهي";"عمليات فرودگاهي";"شغلي";;12;"آشنايي كليه كاركنان آتش نشاني فرودگاه با موارد ايمني فرودگاه پرواز";"كليه كاركنان واحد ايمني و آتش نشاني فرودگاه";"حضوري";;"كلاس - كارگاه - محيط كار";"تئوري-عملي";"كتاب - جزوه";"تجربه حرفه اي مرتبط الزاميست و مورد تاييد مدير فرودگاه و هواپيمايي كشوري";"كارشناسي مهندسي ايمني و آتش نشاني";"5";"5";"يادگيري";"آزمون";"اخذ مدرك هواپيمايي كشوري";;;
13055;85903;;"859";280;"سرپرستي غواصي با هوا";"عمليات غواصي";"شغلي";"85902";5;"هدايت عمليات غواصي در ميادين نفتي و آبهاي آزاد و بسته تا عمق 50 متر";"كاركنان واحد تعميرات زير آب";"حضوري";"تجهيزات غواصي";"كلاس و كارگاه";"تئوري-عملي";"كتاب و جزوه";;"كارشناسي (سرپرست عمليات غواصي با گاز مخلوط هليوم/اكسيژن)";"2 سال";"15 سال";"يادگيري";"آزمون و عملكرد";"70 از 100 و كاركرد";;;
13057;85908;;"859";40;"كاربرد سيستم غواصي با استفاده از بل باز (WET BELL)";"عمليات غواصي";"شغلي";"85902";10;"ارتقاء ايمني و عملكرد غواصان";"كاركنان واحد تعميرات زير آب";"حضوري";"تجهيزات غواصي";"كلاس و كارگاه";"تئوري-عملي";"كتاب و جزوه";;"كارشناسي (سرپرست عمليات غواصي با گاز مخلوط هليوم/اكسيژن)";"2 سال";"5 سال";"يادگيري";"آزمون و عملكرد";"70 از 100 و كاركرد";;;
13058;85909;;"859";168;"پزشكياري غواصي DMT(Diver Medic Training)";"عمليات غواصي";"شغلي";;8;"امداد رساني به غواص مجروح در حوادث زير آب در اتاق فشار";"كاركنان واحد تعميرات زير آب";"حضوري";"اتاق فشار و تجهيزات پزشكي";"كلاس و كارگاه";"تئوري-عملي";"كتاب و جزوه";;"پزشك غواص";"2 سال";"2 سال";"يادگيري";"آزمون و عملكرد";"70 از 100 و كاركرد";;;
13070;61019;;"610";16;"بازيابي گازهاي ارسالي به FLARE";"طراحي و مهندسي فرآيند - فرآيند";"شغلي";;15;"برنامه ريزي جهت كاهش ارسال گاز به فلر از نگاه اقتصادي و زيست محيطي";"مهندسين فرايند و كاركنان بهره برداري و كارشناس خدمات فني";"حضوري";;"كلاس";"تئوري-عملي";"جزوه";"سوابق كار در پروژه هاي حذف گاز را داشته باشد";"كارشناس ارشد شيمي";"3";"10";"يادگيري";"آزمون";"60 از 100";;;
13073;23004;"23004";"230";16;"ISO29001 - تشريح الزامات و مستندسازي سيستم مديريت كيفيت در صنايع نفت و گاز و پتروشيمي";"مديريت كيفيت - نظام سيستمهاي مديريتي";"شغلي";;20;"ايجاد توانمندي جهت بكارگيري و اجراي استاندارد كيفيت در صنايع نفت و گاز و پتروشيمي بر مبناي ISO29001";"كارشناسان مرتبط با كيفيت";"حضوري";;"كلاس";"تئوري";"جزوه";"سابقه كار الزاميست";"كارشناس ارشد";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
13076;12007;;"120";32;"مديريت  بازاريابي";"پشتيباني و ستاد - بازرگاني";"بهبود مديريت";;20;"شناخت محيط هاي بازاريابي و نحوه ارتباط با مشتري";"كليه كاركنان واحدهاي بازاريابي و فروش";"حضوري";;"كلاس";"تئوري";"كتاب";;"دكتري مديريت بازرگاني - بازاريابي";"5 سال";"10 سال";;;;;;
13086;9018;"09018";"090";16;"تيم سازي";"بهبود مديريت";"بهبود مديريت";;25;"آشنايي با مفاهيم تيم سازي";"مديران و سرپرستان";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس مديريت/ صنايع";"3";"5";"يادگيري";"آزمون";"60%";;;
13089;9028;"09028";"090";8;"مديريت استرس";"بهبود مديريت";"بهبود مديريت";;25;"آشنايي با مفاهيم استرس";"كارشناسان و مسئولين";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس مديريت";"3";"5";"يادگيري";"آزمون";"60%";;;
13096;9015;"09015";"090";16;"تفكر سيستمي";"بهبود مديريت";"بهبود مديريت";;25;"آشنايي با نگرشهاي سيستمي";"كارشناسان و مديران";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس مديريت / صنايع";"3";"5";"يادگيري";"آزمون";"60%";;;
13101;22027;"22027";"220";24;"مديريت هزينه در پروژه";"مديريت پروژه";"شغلي";;25;;"مديران و سرپرستان";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس مديريت / صنايع";"3";"5";"يادگيري";"آزمون";"60%";;;
13276;86013;;"860";24;"سيستم ارجاع بيماران و پزشکي خانواده";"آموزشهاي درماني - پرستاري";"شغلي";;30;"آشنايي با سيستم ارجاع بيماران و پزشکي خانواده";"پرستاران و سرپرستاران";"غيرحضوري";;"مجازي";"تئوري";"كتاب";;"پزشک خانواده ، دکتري مديريت خدمات بهداشتي";" 5سال";"5سال";"يادگيري";"آزمون";"70 از 100";;;
13322;21219;;"212";16;"سم شناسي صنعتي";"HSE - بهداشت";"شغلي";;20;"آشنايي با انواع سموم و آثار آنها بر سلامتي كاركنان";"كليه سمتهاي بهداشت صنعتي";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";;"كارشناس ارشد بهداشت حرفه اي با گرايش سم شناسي";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
13415;83229;;"832";24;"روش تهيه مقاطع نازك از نمونه هاي زمين شناسي";"زمين شناسي";"شغلي";;10;"آشنايي با روش تهيه مقاطع نازك ازنمونه هاي زمين شناسي";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي ارشد  زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13450;87301;;"873";8;"*مدون مغز";"آموزشهاي درماني - مغز و اعصاب";"شغلي";;20;"بازنگري در دانش و مهارت متخصصان مغز و اعصاب  و آشنايي با تازه هاي پزشکي در زمينه علل ، درمان و عوامل بيمارهاي مغز و اعصاب";"متخصص مغز و اعصاب";"حضوري";;"كارگاه";"تئوري - عملي";"كتاب";"مدرس دانشگاه";"فوق تخصص مغز و اعصاب";"5 سال";"5 سال";"يادگيري";"آزمون";"70 از 100";;;
13474;85626;"85626";"856";80;"مراقبت پرواز - بازآموزي";"عمليات فرودگاهي";"شغلي";;12;"مروري بر مطالب مراقبت پرواز با علم روز";"كاركنان شاغل در واحد مراقبت پرواز";"حضوري";;"كلاس - كارگاه";"تئوري-عملي";"كتاب - جزوه";"تجربه حرفه اي مرتبط الزاميست و مورد تاييد مدير فرودگاه و هواپيمايي كشوري";"كارشناسي مهندس مراقبت پرواز";"3";"5";"يادگيري";"آزمون";"اخذ مدرك هواپيمايي كشوري";;;
13477;83220;;"832";64;"زمين شناسي حوضه رسوبي ايران مركزي-بازديد صحرايي";"زمين شناسي";"شغلي";;10;" آشنايي با زمين شناسي  حوضه  رسوبي  ايران  مركزي";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي   زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13478;83221;;"832";88;"زمين شناسي زاگرس -لرستان -بازديد صحرايي";"زمين شناسي";"شغلي";;10;" آشنايي با زمين شناسي  زاگرس -لرستان";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي   زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13479;83223;;"832";88;"زمين شناسي زاگرس - فرو افتادگي دزفول و زون ايذه -بازديد صحرايي";"زمين شناسي";"شغلي";;10;"آشنايي با زمين شناسي  زاگرس در فرو افتادگي دزفول  و زون ايذه";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي   زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13481;83222;;"832";120;"زمين شناسي زاگرس -ناحيه فارس -بازديد صحرايي";"زمين شناسي";"شغلي";;10;" آشنايي با زمين شناسي  زاگرس -ناحيه فارس";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي   زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13482;83219;;"832";120;"زمين شناسي حوضه كپه داغ -بازديد صحرايي";"زمين شناسي";"شغلي";;10;"آشنايي با زمين شناسي  حوضه  كپه  داغ";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه -محيط كار";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي ارشد  زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13485;83288;;"832";40;"اندازه گيري ضخامت واقعي طبقات";"زمين شناسي";"شغلي";;10;" اشنايي با شيوه هاي اندازه گيري ضخامت واقعي طبقات در سطح  زمين و در چاه";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي  زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13486;83211;;"832";48;"زمين شناسي ساختماني - پيشرفته";"زمين شناسي";"شغلي";"83210";10;"توانايي شناخت مفاهيم پيشرفته زمين شناسي  ساختماني";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي ارشد  زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13488;83233;;"832";32;"سنگ هاي رسوبي تخريبي";"زمين شناسي";"شغلي";;10;"آَشنايي با سنگهاي رسوبي تخريبي";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي ارشد  زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13489;83234;;"832";32;"سنگ هاي رسوبي كربناته";"زمين شناسي";"شغلي";;10;" آشنايي با سنگ هاي رسوبي كربناته";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي ارشد  زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13491;83235;;"832";32;"محيطهاي رسوبي";"زمين شناسي";"شغلي";;10;"شناخت  محيطهاي رسوبي";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي ارشد زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13492;83214;;"832";32;"زمين شناسي حوضه ها و سنگهاي تبخيري";"زمين شناسي";"شغلي";;10;"آشنايي با زمين شناسي حوضه ها و سنگهاي تبخيري";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي ارشد  زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13496;83248;;"832";32;"ليتواستراتيگرافي";"زمين شناسي";"شغلي";;10;"درک و شناخت اصول ليتواستراتيگرافي";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كلاس";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي ارشد زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
13497;83279;;"832";32;"پالئوايكنولوژي";"زمين شناسي";"شغلي";;10;"اشنايي با پالئوايكنولوژي";"کارشناسان واحدهاي زمين شناسي";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجريه حرفه اي مرتبط الزاميست";"کارشناسي ارشد زمين شناسي";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
