"كد دوره در نفت";"ترتيب";"كد دوره";"كد تخصصي";"ساعت";"عنوان دوره";"عنوان گروه تخصصي";"نوع دوره";"كد پيش نياز";"حداكثر ظرفيت";"اهداف دوره";"شرايط شركت كنندگان";"نحوه اجرا";"تجهيزات مورد نياز";"فضاي آموزشي";"روش تدريس";"منابع آموزشي";"شرايط مدرس";"مقطع تحصيلي و رشته";"تجربه تدريس";"تجربه حرفه اي";"سطح ارزيابي";"روش ارزيابي";"شاخص ارزيابي";"توضيحات";"شاخص ارزيابي1111";"شاخص ارزيابي11111"
599;20204;;"202";32;"زبان تخصصي  HSE- محيط زيست";"زبان تخصصي - مشاغل فني";"شغلي";"06008";15;"آشنايي فراگيران با زبان و اصطلاحات انگليسي در زمينه HSE-محيط زيست";"كارشناسان و كارشناسان ارشد واحدهاي HSE";"حضوري";;"كلاس";"تئوري";"كتاب";"تجربه حرفه اي و داشتن مدرك TTI يا TTC يا TKTالزامي است";" محيط زيست";"3";"5";"يادگيري";"آزمون";"ارائه مطلب يك نمونه پيشنهادي توسط فراگيران و 70%";;;
600;57028;;"570";40;"نرم افزار CATIA";"مكانيك - اصول مهندسي";"شغلي";;8;"آشنايي با نحوه طراحي قطعات توسط نرم افزار CATIA";"كارشناسان ادارات مهندسي/خدمات فني /مهندسي پروژه";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب-جزوه-نرم افزار";"تجربه حرفه اي الزامي است";"كارشناسي ارشد مهندسي مكانيك";"3";"7";"يادگيري";"آزمون";"60%";;;
601;52011;;"520";24;"پمپها - طراحي ايستگاههاي پمپاژ";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;10;"شناخت نحوه طراحي ايستگاههاي پمپاژ";"كارشناسان مهندسي- خدمات فني-مهندسي پروژه";"حضوري";;"كلاس";"تئوري";"جزوه";;"مهندسي مكانيك-مهندسي شيمي";"5";"10";"يادگيري";"آزمون";"60%";;;
602;52010;;"520";32;"پمپها - اختصاصي";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;15;"آشنايي با نحوه انتخاب و طراحي, بهره برداري ، تعمير و نگهداري پمپهاي اختصاصي";"تكنسينها و كارشناسان بهره برداري- تعميرات-مهندسي-خدمات فني-بازرسي فني- مهندسي پروژه ها";"حضوري";;"كلاس - كارگاه";"تئوري-عملي";"جزوه";;"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
603;52004;;"520";32;"پمپهاي گريز از مركز - تعميرات و نگهداري";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;10;"آشنايي با نگهداري و تعميرات پمپهاي گريز از مركز";"كارشناسان و تكنسينهاي تعميرات- بهره برداري";"حضوري";;"كلاس-كارگاه";"تئوري-عملي";"جزوه-كتاب";;"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
604;52006;;"520";16;"پمپهاي گريز از مركز - نحوه تكميل Data Sheet بر اساس API 610";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";"52005";15;"توانايي تكميل data sheet  كمپرسورهاي گريز از مركز بر اساس API 610";" كارشناسان تعميرات-مهندسي-خدمات فني- مهندسي پروژه ها";"حضوري";;"كلاس";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
605;52008;;"520";40;"پمپهاي جا به جايي مثبت - اصول انتخاب و طراحي بر اساس استاندارد API 674 , 675, 676";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";"52001";15;"تبيين استانداردهاي API 674  و  API 675 و  API 676";"كارشناسان ادارات مهندسي-تعميرات- خدمات فني- بازرسي فني-مهندسي پروژه";"حضوري";;"كلاس";"تئوري";"جزوه-كتاب";;"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
606;52009;;"520";16;"پمپهاي جا به جايي مثبت - نحوه تكميل Data Sheet بر اساس API 674 , 675, 676";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";"52008";15;"توانايي نحوه تكميل data sheet  پمپهاي جا به جايي مثبت بر اساس 673 API و 676 API و API 674";" كارشناسان تعميرات-مهندسي-خدمات فني- مهندسي پروژه ها";"حضوري";;"كلاس";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
607;52013;;"520";32;"توربينهاي بخار - اصول بهره برداري و كاربرد آنها";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;15;"آشنايي با قطعات ، اجزا و نحوه راه اندازي و از سرويس خارج كردن انواع توربينهاي بخار";"تكنسينها و كارشناسان ادارات بهره برداري-تعميرات";"حضوري";;"كلاس- محيط كار";"تئوري-عملي";"جزوه";;"مهندسي مكانيك - مهندسي شيمي";"3";"10";"يادگيري";"آزمون";"60%";;;
608;52014;;"520";40;"توربينهاي بخار - تعميرات و نگهداري";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;8;"آشنايي با نحوه تعمير و نگهداري انواع توربينهاي بخار و قطعات آنها";"تكنسينها و كارشناسان تعميرات";"حضوري";;"كلاس-كارگاه-محيط كار";"تئوري-عملي";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
