"كد دوره";"كد دوره در نفت";"کد دوره در پالايش و پخش";"کد دوره در گاز";"کد دوره در پتروشيمي"
52004;-;;;
52005;17090;;;
52006;-;;;
52007;21888;;;
52008;-;;;
52009;-;;;
52010;-;;;
52011;-;;;
52012;12956;;;
52013;-;;;
52014;-;;;
52015;-;;;
52016;-;;;
52017;-;;;
52018;23164;;;
52019;20760;;;
52020;21871;;;
52021;15217;;;
52022;-;;;
52023;-;;;
52024;-;;;
52025;-;;;
52026;-;;;
52027;15254;;;
52028;-;;;
52029;20163;;;
52030;-;;;
52031;-;;;
52032;-;;;
52033;15210;;;
52034;-;;;
52035;-;;;
52036;-;;;
52037;-;;;
52038;17242;;;
52039;-;;;
52040;-;;;
52041;-;;;
52042;-;;;
52043;18194;;;
52044;-;;;
52045;-;;;
52046;19063;;;
52047;-;;;
52048;-;;;
52049;-;;;
52050;-;;;
52051;-;;;
52052;-;;;
52053;-;;;
19001;;;;
19002;;;;
19003;;;;
19004;21715;;;
19005;;;;
19006;;;;
19007;18938;;;
19008;20235-22117;;;
19009;20025;;;
19010;;;;
19011;;;;
19012;;;;
19013;;;;
19014;;;;
19015;20237;;;
19016;;;;
19017;18457;;;
19018;23147;;;
19019;18609;;;
19020;20024;;;
19021;12544;;;
25001;17680;;;
25002;14688;;;
25003;23667;;;
25004;-;;;
25005;-;;;
25006;17683;;;
25007;21169;;;
25008;-;;;
25009;-;;;
25010;-;;;
25011;13616;;;
25012;-;;;
25013;23660;;;
25014;12203;;;
25015;-;;;
25016;-;;;
25017;-;;;
25018;-;;;
25019;-;;;
25020;-;;;
25021;-;;;
25022;-;;;
16001;20688;;1806-1812;
16002;-;;-;
16003;22113;;1857;
16004;17880;;1830-1820-48002;
16005;12385;;1853;
16006;21329;;1852;
16007;22442;;1851;
16008;18272;;1833-1839;
16009;22746;;1818;
16010;20929;;1809;
16011;22476;;10003-1844;
16012;20281;;1829-1836;
16013;22472;;1826;
16014;-;;1824;
16015;18816;;1827;
16016;22100;;1843;
16017;-;;1859;
16018;18013;;1805;
16019;22437;;1832;
16020;20140;;-;
16101;22443;;1822;
16102;-;;1842;
16103;-;;-;
16104;-;;-;
16105;-;;-;
16106;-;;-;
16107;-;;-;
16501;17848;;1831;
16502;-;;1862;
16503;-;;1863;
16504;-;;1864;
16505;-;;1865-6749;
